No	Name			Source			Privacyy			Description		
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1	cdMedicalDoctor		-			Private			ข้อมูลแพทย์		
2	cdMedicalUnit		สปสช.			Public			ข้อมูลสถานพยาบาล		

3	crGender		การมการปกครอง		Public			ข้อมูลเพศ
4	crPersonNameTitle	การมการปกครอง		Public			ข้อมูลคำนำหน้าชื่อ
5	crNationality		การมการปกครอง		Public			ข้อมูลสัญชาติ

6	crProvince		การมการปกครอง		Public			ข้อมูลจังหวัด
7	crAmpur			การมการปกครอง		Public			ข้อมูลอำเภอ
8	crTumbol		การมการปกครอง		Public			ข้อมูลตำบล
9	crMoo			การมการปกครอง		Public			ข้อมูลหมู่
10	crZone			การมการปกครอง		Public			ข้อมูลการแบ่งเขตในกรุงเทพ
11	crZoneAmpur		การมการปกครอง		Public			ข้อมูลความสัมพันธ์การแบ่งเขตในกรุงเทพและรหัสเขต
12	emPatientCommitStatus	กรมการแพทย์		Private			ข้อมูลสถานะผู้ป่วย	




